Propanenitrile,,,
"z (Angstroms)","PE (kcal/mol)","F (kcal/mol-Angstrom)","Number of samples"
0.169322,9.19511,1.39621,27701
0.221881,9.0502,1.02269,108967
0.272876,8.53692,0.771759,79814
0.335902,8.87905,0.550159,16937
0.406454,9.59531,0.415415,60005
0.458403,9.82887,0.204597,112644
0.514017,10.0071,0.114895,54087
0.584786,10.0093,0.0537141,75389
0.636986,10.348,-0.0415472,111716
0.69195,9.83854,-0.137815,37954
0.766481,9.15087,0.887381,55288
0.81892,9.37495,0.856057,116461
0.870346,9.69862,0.72079,48702
0.929356,9.54349,1.33185,4925
1.01065,4.69081,0.834768,20868
1.0633,4.40807,1.00177,100910
1.11415,4.3982,0.739329,90590
1.17896,6.53655,1.23614,27980
1.24468,9.8894,2.35353,87105
1.29555,9.71994,1.73367,104024
1.34912,9.37546,1.22648,23696
1.42972,7.90054,3.96302,30545
1.48159,8.16406,3.6271,113526
1.53237,8.11345,3.29119,73728
1.58765,7.54014,3.31243,9258
1.67124,4.97508,4.23139,17282
1.72363,4.48763,3.68232,97316
1.77409,4.46143,3.03576,96257
1.83731,4.32465,3.33177,28355
1.90503,4.6229,3.72036,83682
1.9558,4.63761,3.0425,106463
2.00921,5.33305,2.40334,25324
2.08962,6.07751,2.90791,26753
2.14203,6.15206,2.66699,107785
2.19325,6.46938,2.42841,81769
2.25976,5.16184,3.59531,24096
2.32449,4.05938,3.6165,85706
2.37563,4.17406,2.82579,104496
2.43253,4.25718,2.09314,29167
2.50671,6.71376,2.6371,61043
2.5583,7.00758,2.01239,120411
2.61807,6.43098,1.80337,68999
2.68164,6.03927,2.22393,110798
2.7331,6.02582,1.87936,78415
2.8017,4.94582,2.60632,27482
2.86373,4.58493,1.84908,96790
2.91495,5.33083,0.943571,98618
2.98252,5.97326,0.849385,58535
3.03984,6.14179,0.343161,116574
3.09167,6.86679,0.171199,61362
3.16018,6.91064,0.901695,13956
3.22661,6.28443,1.94448,67371
3.27776,6.67281,1.76496,113404
3.33723,7.07192,1.74196,61184
3.40223,8.06531,1.45029,104377
3.45375,8.21611,0.751204,86474
3.51844,5.28022,0.633711,25934
3.58504,3.47717,0.706971,83525
3.63606,3.13404,0.106015,107681
3.69796,4.79403,0.0831642,45482
3.76294,6.81291,0.473002,100676
3.81416,7.09102,-0.3121,90893
3.87992,6.65256,-0.370792,31649
3.94368,6.05512,-0.336469,94434
3.9949,6.17567,-0.956385,98441
4.05655,6.09078,-1.22318,29832
4.12501,5.8009,-0.503019,82362
4.17599,5.6228,-0.968956,107037
4.23259,5.14738,-0.905235,31561
4.30643,4.81,-0.220673,61961
4.35827,5.08851,-0.507083,115394
4.41391,4.83698,-0.849349,52774
4.48479,3.87559,-0.454087,77980
4.53666,4.01891,-0.910263,110530
4.59052,4.18214,-1.4023,32705
4.66786,7.09029,-0.834666,40798
4.72053,6.8988,-1.54862,116022
4.77368,6.97474,-2.32553,69810
4.84446,4.61763,-1.34504,71999
4.89744,4.56958,-1.59662,116053
4.95154,4.18855,-2.27597,41608
5.02684,2.84194,-1.84132,55112
5.07896,2.71837,-2.48022,117338
5.13066,2.93636,-2.94453,49299
5.20643,4.34222,-1.66285,19698
5.26395,3.94056,-1.6696,93246
5.31505,4.00402,-2.25517,97845
5.36952,4.0405,-2.28629,20875
5.44906,2.13271,-0.973631,31585
5.50155,1.89098,-1.65147,113170
5.55296,1.65598,-2.50503,75234
5.62448,4.02704,-2.33504,44690
5.68077,4.44452,-2.3872,110994
5.73242,4.60034,-2.68775,69537
5.78552,4.2703,-2.58222,8860
Aminopropane,,,
"z (Angstroms)","PE (kcal/mol)","F (kcal/mol-Angstrom)","Number of samples"
-8.68757,4.86211,2.54876,281
-8.63191,7.58755,1.43541,12164
-8.57978,8.27126,0.595674,83668
-8.52896,8.1553,-0.206807,105494
-8.47558,7.88061,-1.08546,26834
-8.39583,7.52574,-0.0423047,34981
-8.34383,7.69259,-0.0813101,113454
-8.29227,7.71934,-0.0241384,70322
-8.22549,9.09541,0.107068,16559
-8.15905,10.3369,0.090882,70570
-8.10755,10.6334,0.113491,112407
-8.05504,10.5425,-0.16536,35285
-7.9765,9.81548,0.562143,30106
-7.92275,10.2803,0.263506,108146
-7.87034,9.55845,-0.19032,83684
-7.80077,5.47908,-0.116738,64788
-7.74613,5.06663,-0.187474,117733
-7.69423,4.61741,-0.0958129,47580
-7.62771,6.40803,-0.0511067,6444
-7.5558,8.20897,0.521708,42787
-7.50471,8.41841,0.194071,116309
-7.4517,8.49349,-0.0694823,65823
-7.37941,11.8233,0.209883,67020
-7.32679,11.9376,0.155763,116319
-7.27363,11.4069,0.246027,44410
-7.19802,6.68159,0.598441,51392
-7.14533,6.36176,0.124659,116148
-7.09362,5.87282,-0.313805,55315
-7.01937,9.17815,0.287853,21127
-6.96099,9.39274,0.645891,89083
-6.90931,8.9453,0.740232,98258
-6.85605,8.53562,0.725416,23101
-6.77489,6.10111,1.20171,23784
-6.72177,6.23853,0.99923,101928
-6.67086,6.21788,0.542458,87615
-6.61484,6.28573,0.0246985,16000
-6.53573,9.62645,0.908257,32870
-6.48328,9.82232,0.247783,110311
-6.42977,9.8679,-0.323,81970
-6.36151,10.8062,-0.0825317,83007
-6.30776,10.7981,-0.0999854,111230
-6.25204,10.8554,-0.308776,38133
-6.1787,11.963,0.0582898,63374
-6.1266,11.9133,0.381137,115645
-6.07331,11.4914,0.57594,44701
-5.9977,7.77669,1.1254,51118
-5.94554,7.3439,0.188094,121123
-5.89471,7.36816,-0.614497,51312
-5.82332,10.488,0.144378,9091
-5.75776,10.3401,1.31435,57107
-5.70646,9.55775,1.02752,114964
-5.65267,9.02157,0.895516,50214
-5.57791,6.0402,0.364396,50057
-5.52532,5.95499,-0.0763537,117629
-5.47291,5.7535,-0.398636,56837
-5.39875,6.31712,1.2578,40024
-5.34388,6.07808,1.05245,108758
-5.29075,6.58659,0.647978,73936
-5.22065,8.99792,0.311669,58752
-5.16541,9.67276,-0.263493,117794
-5.11372,9.53892,-0.672306,54462
-5.03964,5.46618,0.408449,19999
-4.98041,3.74004,0.85247,92706
-4.9298,3.59125,0.337164,98538
-4.87758,3.15971,0.330437,19597
-4.79483,3.7864,1.08385,8180
-4.73835,4.25334,1.10961,64751
-4.6871,3.87965,0.510042,113206
-4.63044,3.32636,0.291162,48846
-4.56004,4.31199,0.798397,78042
-4.50809,4.43084,0.671368,111116
-4.45561,4.10273,0.582669,30511
-4.37648,4.6728,1.3231,15928
-4.32037,3.94181,1.47385,84440
-4.26859,3.36804,1.31084,105231
-4.20394,2.95594,0.777437,62120
-4.14426,3.84334,0.335149,115500
-4.09294,4.1354,0.38112,65820
-4.03059,4.39212,0.144247,10042
-3.9567,6.64447,0.928645,44433
-3.90481,6.76418,0.727917,115186
-3.85267,6.8137,0.425924,61566
-3.77864,2.77714,1.32595,42907
-3.72437,2.17838,1.00623,116808
-3.67313,2.36131,0.636858,64645
-3.61357,2.85522,0.303776,7948
-3.53479,3.52248,1.35706,30698
-3.48336,3.45832,0.890006,111432
-3.43205,3.03795,0.786624,74417
-3.365,4.89617,1.01601,20311
-3.29956,6.93963,1.13592,78757
-3.24832,6.57217,1.05032,107852
-3.18909,4.86097,1.01669,42149
-3.12041,1.17404,1.24301,85070
-3.0688,1.06517,1.12103,103434
-3.01603,0.808138,1.06232,26351
-2.93498,5.32782,1.57866,18763
-2.88115,4.61428,1.2915,92839
-2.82838,4.50533,1.10471,104992
-2.76325,3.2444,0.892859,89644
-2.70769,2.73723,0.601493,112300
-2.65498,2.9805,0.602553,35170
-2.57857,4.34524,0.585931,8825
-2.51798,4.03975,0.788433,64451
-2.46674,4.10654,0.442191,115441
-2.41039,4.23396,0.300974,50462
-2.34045,5.43285,0.392533,83669
-2.28857,5.38455,0.0761016,106368
-2.23252,4.99298,-0.0616413,31170
-2.15775,2.21771,0.391343,55319
-2.10603,2.2177,0.0931398,115456
-2.05398,2.43135,-0.00437503,49152
-1.98479,1.99855,0.881475,9080
-1.91746,3.29824,2.21616,53977
-1.86612,3.84222,1.92899,116639
-1.81452,4.03082,1.85286,48593
-1.74223,5.60297,2.55149,8972
-1.6778,5.87395,2.33251,61060
-1.62604,5.83266,1.92784,121831
-1.56489,8.37219,1.1568,98358
-1.50648,10.2215,0.780613,119293
-1.45386,9.96516,0.380297,47876
-1.37736,7.38557,0.565586,37142
-1.32371,7.11468,0.355777,113447
-1.27255,7.35938,0.157954,70524
-1.20087,6.16856,1.24734,29802
-1.14167,5.03258,1.01083,101309
-1.09074,5.19088,0.618851,88324
-1.03539,5.37981,0.467323,16639
-0.955528,5.38728,0.55948,30853
-0.903072,4.7086,0.371301,107254
-0.849264,4.52914,0.165279,89255
-0.781737,4.3221,0.70236,87246
-0.728269,4.20453,0.50575,108434
-0.672896,4.63924,0.388586,33453
-0.597551,8.80121,0.568911,54101
-0.545875,8.64949,0.192302,118131
-0.494453,8.88609,-0.441101,49163
-0.426483,5.26364,0.206542,6858
-0.356574,3.16228,0.85029,47471
-0.305075,3.53407,0.639494,117615
-0.251798,4.15968,0.513957,60782
-0.179456,6.2474,0.416515,65017
-0.12642,7.03022,0.220739,116215
-0.0748872,6.99719,-0.0190114,41876
-0.0202641,7.05887,-0.367553,2878
0.0684498,3.74862,0.992319,4783
0.12289,3.1928,1.49248,51733
0.174311,3.0786,1.03082,115153
0.229084,3.11225,0.994698,60739
0.299966,2.16334,1.95733,77641
0.352358,2.11641,1.71539,112398
0.403772,1.86904,1.19735,31479
0.484644,4.54807,1.75948,18908
0.538907,4.60884,1.292,94799
0.590574,4.40527,1.01434,97557
0.657112,3.38138,1.12813,57490
0.716011,3.15271,0.806894,116839
0.77165,2.67844,0.395168,86765
0.83697,1.38741,0.386479,109950
0.888993,0.985435,-0.180969,87443
0.941748,0.890011,-0.660298,13541
1.02724,3.24418,0.86567,4126
1.08308,3.78055,0.903976,50744
1.1353,3.52344,0.511381,123218
1.19464,1.62032,0.172221,118475
1.25237,0.247898,-0.165701,118137
1.3065,0,-0.294442,41455
1.38253,3.12831,0.384024,43334
1.43546,3.16085,0.143392,116408
1.48748,3.51363,-0.190529,63768
1.561,5.14833,-0.877635,48779
1.61543,5.33496,-1.08525,117346
1.67091,4.18065,-1.24294,77248
1.73813,0.410794,-0.69711,99191
1.79004,0.320565,-1.10414,96309
1.84269,0.269845,-1.58569,18563
1.92533,0.258528,-0.642397,8802
1.9815,0.0311633,-1.45771,69525
2.03246,0.0624407,-1.87163,114613
2.08911,0.057503,-2.23623,42952
2.16037,0.618495,-1.93981,75078
2.21211,1.17671,-2.10125,111307
2.27063,0.846126,-2.25394,45371
2.33922,0.0243474,-2.16335,86385
2.39121,0.16082,-2.45106,103165
2.44541,0.282089,-2.59538,27245
2.52332,1.53834,-2.21114,40116
2.57588,1.84738,-2.25456,113989
2.62717,2.11875,-2.30309,65090
2.69625,3.81763,-1.56313,16792
2.76074,4.83706,-0.866772,70185
2.8124,4.84148,-0.760902,110938
2.86527,5.22224,-0.911669,36278
2.94305,5.02005,-0.105515,25520
2.99782,5.05993,-0.0634472,101568
3.04983,5.10107,-0.267704,88384
3.11796,6.27938,-0.663625,55321
3.1756,6.71201,-1.06005,114784
3.22731,6.77619,-1.38606,63082
3.29205,6.10636,-1.17724,11330
3.36277,3.14362,-0.513584,56116
3.41369,3.58505,-0.910824,119226
3.46451,3.57004,-1.22389,44667
3.5183,3.90336,-1.63673,3083
Aminobutane,,,
"z (Angstroms)","PE (kcal/mol)","F (kcal/mol-Angstrom)","Number of samples"
-8.79109,12.1745,0.843047,1438
-8.73691,11.4533,0.791475,28736
-8.68498,10.8752,0.626872,105898
-8.63216,10.3765,0.66101,84943
-8.56359,9.7457,0.412027,68758
-8.50829,9.66841,0.102199,113209
-8.45649,9.84373,-0.387251,48523
-8.38298,11.2484,-0.0999049,11622
-8.32096,10.8388,0.357256,69703
-8.26947,10.7532,0.256276,112309
-8.21127,10.9529,0.236617,50864
-8.14321,10.6263,0.597345,87273
-8.09096,10.3171,0.284193,99756
-8.03696,9.90415,0.320955,26847
-7.95845,5.83002,0.815415,22476
-7.90394,5.42071,0.773929,96447
-7.85226,4.92605,0.697731,91482
-7.78638,9.31873,0.418308,42360
-7.72445,12.7065,0.436096,105068
-7.67362,12.7399,0.435128,83827
-7.61522,13.3658,0.237374,16503
-7.53905,14.6793,-0.272856,44016
-7.48713,14.8284,-0.18156,113130
-7.43499,14.5093,-0.168936,62049
-7.36166,12.3614,0.946711,29410
-7.3043,11.483,0.634205,103455
-7.25189,11.6342,-0.231335,90975
-7.18399,10.8621,0.100072,72245
-7.12868,10.2175,-0.165155,116042
-7.07588,10.11,-0.435953,45773
-6.99999,7.6548,1.44257,28830
-6.94471,7.12913,0.619021,102009
-6.89313,7.0931,-0.124426,84491
-6.83169,7.39249,-0.614775,20613
-6.7602,8.72881,0.264203,62234
-6.70891,8.49047,0.0925439,116937
-6.65691,8.42023,-0.138127,41152
-6.57923,7.5611,0.827977,30045
-6.52504,7.79325,0.382776,106687
-6.47366,8.03229,-0.0695852,79619
-6.4176,7.41551,-0.272444,13701
-6.33757,6.0358,0.735392,32006
-6.28549,5.83281,0.724293,110169
-6.23285,6.15589,0.703913,79350
-6.16273,7.32243,1.40656,62574
-6.10816,6.96594,1.4122,118028
-6.05515,7.41509,1.00008,51443
-5.98053,15.6438,0.492344,52190
-5.9277,16.0956,-0.0446057,118645
-5.87593,15.7494,-0.368675,53488
-5.80045,3.53082,1.19025,27382
-5.74433,1.37299,1.01791,101557
-5.69304,1.37865,0.43608,87075
-5.63265,2.88133,-0.336331,20366
-5.56006,7.36243,-0.0571522,59883
-5.50882,7.53661,-0.168295,116849
-5.45473,7.68168,-0.0488445,47469
-5.38056,9.65248,0.611594,58187
-5.32825,9.56179,-0.501019,114754
-5.27567,9.92187,-1.13406,50253
-5.20044,10.5607,0.345098,34140
-5.14504,10.4219,0.441733,105598
-5.09368,10.3297,0.0883926,78496
-5.02667,8.29608,0.304394,24771
-4.96235,7.21139,0.126518,82487
-4.91072,7.2532,-0.214076,103960
-4.85824,6.72506,-0.549128,27115
-4.77717,7.86024,1.18635,16824
-4.72317,8.10631,0.609441,91209
-4.67093,8.14674,0.275242,102877
-4.60524,9.62313,0.371602,68006
-4.54738,10.2974,-0.00709715,116697
-4.49589,10.2087,-0.787512,54591
-4.43322,8.92564,-1.04726,7316
-4.35745,7.58144,0.658487,34319
-4.30612,7.08756,0.461228,113216
-4.25399,7.25015,0.454016,73371
-4.18199,9.14452,0.122055,50929
-4.12725,9.47159,-0.116392,115348
-4.07462,9.60201,-0.18214,61161
-4.00201,3.87504,0.0436982,32922
-3.94504,2.59249,-0.0728087,104102
-3.89309,2.47698,-0.15658,81793
-3.82864,6.48882,-0.0344474,23668
-3.76183,12.3646,0.286144,78490
-3.7105,12.4866,-0.281136,108789
-3.65839,12.3555,-0.623739,29401
-3.57756,10.7726,0.834014,17974
-3.52307,9.95493,0.402143,91432
-3.47163,9.51458,-0.0539499,97610
-3.41397,8.73867,-0.0802269,26340
-3.34048,5.31959,0.702272,59122
-3.28836,4.96865,0.582789,115483
-3.23,3.73761,0.2245,65371
-3.16446,2.16959,-0.623235,100408
-3.11234,3.11114,-0.654337,92137
-3.05645,4.76403,-0.441267,19253
-2.9784,7.25145,0.618445,38304
-2.9262,6.89598,0.43284,111060
-2.87417,6.72249,0.397796,68389
-2.80287,6.00824,1.32266,33778
-2.74477,5.4623,0.763112,100150
-2.69298,5.01884,0.536956,85880
-2.63137,4.95744,0.483778,22157
-2.56061,4.38453,0.270457,66073
-2.50943,5.02082,0.0972796,115509
-2.45747,5.34858,0.0853779,37459
-2.381,6.93527,1.87054,7492
-2.31986,6.06887,2.02572,59691
-2.26859,5.7234,1.84849,113791
-2.21435,6.26275,2.0064,50218
-2.14121,9.3052,1.46753,59381
-2.08829,9.77027,1.12818,115008
-2.03598,9.59203,0.728951,48697
-1.96033,5.29012,1.42906,26308
-1.90418,5.20722,1.44286,100551
-1.85288,5.64196,1.34039,87629
-1.79629,6.12536,1.59084,17616
-1.71827,3.91807,2.22403,40817
-1.66669,3.81649,1.88547,115999
-1.61512,3.89951,1.62761,63600
-1.5414,7.80842,2.14772,33168
-1.48504,8.26992,1.88732,107756
-1.43363,8.18747,1.57704,81568
-1.36627,3.82762,2.08681,24492
-1.3026,0.107111,3.04922,88419
-1.25135,0,2.69164,101847
-1.19269,1.08969,1.93529,30690
-1.12151,3.35628,0.582473,72925
-1.0698,2.86303,0.239315,111120
-1.01746,2.05747,0.104308,34129
-0.938366,8.08302,1.76003,18784
-0.88306,8.36674,1.88632,90070
-0.831794,8.42978,1.57582,98819
-0.775793,6.85358,1.56542,23874
-0.699159,2.64703,2.03156,44700
-0.647026,2.16925,1.85991,116385
-0.593649,2.90404,1.6636,63321
-0.521944,8.99883,0.754516,60449
-0.468311,9.69873,0.254496,116924
-0.414664,9.31731,0.337601,50918
-0.340898,6.9468,2.58865,55116
-0.287773,6.8484,2.62691,116699
-0.234335,6.54174,2.214,56035
-0.161642,8.69938,1.2389,59171
-0.108319,8.4819,0.810252,115845
-0.0565812,8.22503,0.629862,48488
0.00232652,7.35621,0.732554,4276
0.0839946,2.30519,3.29162,18304
0.136681,2.04594,2.70443,94313
0.187667,2.0018,2.18996,96343
0.247878,1.94384,1.6246,25088
0.319015,2.56112,1.70594,70488
0.369995,2.01304,1.31241,115596
0.428918,2.55416,1.1682,46363
0.497158,3.82785,1.3362,90425
0.548382,3.80346,0.981764,102883
0.608922,2.6214,0.885493,34096
0.677835,1.03042,1.27815,84905
0.728864,0.900237,0.686611,105471
0.791231,1.76407,0.704977,44437
0.855851,3.26336,1.01513,100461
0.907193,3.41886,0.72099,91573
0.966606,3.67082,0.508776,21190
1.0397,3.04624,0.581874,62057
1.09172,3.20993,0.222586,119232
1.1514,4.1084,-0.632697,77790
1.21364,4.61876,-0.794898,114131
1.26558,4.785,-0.931919,68820
1.33597,5.57866,-0.941974,25404
1.39687,6.2796,-0.973634,91805
1.44801,6.80516,-1.18698,98484
1.51153,5.01638,-1.30184,37137
1.57663,3.44251,-1.18729,95353
1.62773,3.50177,-1.54386,96718
1.69061,4.49134,-1.59706,30958
1.75785,7.08906,-1.57009,84854
1.80889,7.17488,-1.8907,105037
1.86382,6.70435,-1.91691,26999
1.94069,5.68115,-0.0410276,45304
1.99316,6.1758,-0.330176,116698
2.04422,6.2077,-0.488818,58212
2.10334,5.91491,-1.31965,6566
2.18353,6.06278,-0.917852,25146
2.23508,6.33942,-1.17306,105775
2.28667,6.38977,-1.64906,83862
2.35553,3.59178,-1.64878,37835
2.41537,2.60343,-1.92026,103227
2.46685,2.73108,-2.39569,83684
2.52941,4.27673,-1.73181,20657
2.59907,6.46486,-0.785374,67788
2.65034,6.42814,-0.95083,116233
2.70711,6.12521,-1.02676,44234
2.77815,6.47278,-0.807788,75066
2.82967,7.06634,-1.21059,113623
2.88579,6.39745,-1.69508,37530
2.95889,1.30903,-1.37887,67454
3.01057,1.03708,-1.81727,114270
3.06456,0.988714,-2.13516,41497
3.13986,2.25396,-1.42272,53675
3.19215,2.41662,-1.92904,116563
3.24342,3.02991,-2.2441,51488
3.29715,4.43738,-3.08286,4040
Aminopentane,,,
"z (Angstroms)","PE (kcal/mol)","F (kcal/mol-Angstrom)","Number of samples"
-7.55328,4.73591,1.11142,756
-7.49911,7.91406,0.873218,21923
-7.44701,7.47347,0.526048,98327
-7.39551,7.277,0.422814,89252
-7.3398,7.06494,0.178006,18243
-7.26087,8.49682,0.884635,29895
-7.20812,7.09207,0.795412,106120
-7.15623,6.85407,0.578896,79185
-7.08984,6.02045,0.478418,25968
-7.02524,4.86659,0.403372,83827
-6.97379,4.84763,0.0578147,102751
-6.91368,7.37947,-0.102143,38878
-6.84551,12.4839,-0.00585392,84752
-6.79377,12.4394,-0.416305,103389
-6.73572,12.7807,-0.668783,34254
-6.66437,13.0735,-0.16446,70350
-6.61257,13.2295,-0.573644,110907
-6.56,13.356,-0.752423,37003
-6.4814,9.28264,0.529282,19621
-6.42603,8.2593,0.715355,95664
-6.37527,8.30178,0.426794,95713
-6.3163,9.58961,0.599713,23111
-6.24277,13.7312,1.02495,58583
-6.19143,13.3872,0.868385,118343
-6.13782,12.9082,0.51274,47882
-6.06377,10.8636,-0.215913,54980
-6.01059,11.1374,-0.107072,113982
-5.95845,11.2981,0.0134216,52800
-5.88383,8.83567,0.119512,30760
-5.82747,8.37342,0.136957,103828
-5.77604,8.45951,0.00671072,82904
-5.72161,8.92497,-0.0373222,14375
-5.63985,10.4521,0.933548,25525
-5.58722,9.89426,0.386627,107186
-5.53429,10.4096,-0.245672,93819
-5.46757,12.5609,0.191018,95534
-5.41388,12.5532,-0.415333,105485
-5.36169,13.0976,-1.15394,25984
-5.28074,9.34989,-0.366038,16236
-5.22588,8.62508,-0.143702,87350
-5.17419,8.94103,-0.103473,101344
-5.11645,9.72262,-0.145409,28739
-5.04356,11.4435,-0.414337,65443
-4.9919,11.9981,-0.53684,116210
-4.93268,11.9039,-0.323283,62033
-4.86731,10.5043,0.512947,101255
-4.81574,10.5624,0.449337,88863
-4.76192,11.1964,0.543123,16025
-4.6795,12.3464,0.165258,16655
-4.6258,12.1572,0.244059,92230
-4.57497,11.7641,0.413808,97669
-4.51854,11.3845,0.83884,23645
-4.44224,12.9822,0.914544,46902
-4.39008,12.5699,0.31276,116212
-4.33757,12.383,-0.53062,59222
-4.26373,16.6603,0.242475,47576
-4.20987,17.3275,-0.188877,116712
-4.15784,17.2201,-0.644892,60111
-4.08433,12.642,-0.360979,27276
-4.02688,12.0135,-1.14418,102383
-3.97585,12.7484,-1.48554,88088
-3.91642,13.2438,-1.11818,19663
-3.84295,12.2299,-0.281317,57800
-3.79135,12.2296,-0.0901304,115623
-3.73863,12.5554,0.179099,47568
-3.66233,12.1372,0.707305,27116
-3.60733,11.8095,-0.125676,103307
-3.55574,12.112,-0.662561,86198
-3.48847,13.8013,-0.847063,36270
-3.4271,14.2685,-0.644937,101048
-3.37572,13.982,-0.945609,86943
-3.32004,13.7474,-0.771799,17172
-3.24039,14.4158,0.985655,32090
-3.18877,14.5549,-0.198544,114293
-3.13689,14.5972,-1.06644,73225
-3.06602,11.7786,-0.637732,32557
-3.00759,8.85766,-0.457987,105053
-2.95628,7.82195,-0.997853,84114
-2.89256,8.34292,-0.168982,20919
-2.82397,11.4924,0.174136,76740
-2.77319,11.6199,-0.280382,113357
-2.71245,11.1006,-0.453561,48560
-2.64696,8.37925,0.0261333,98030
-2.59534,7.89669,-0.0313404,93131
-2.53937,8.77938,0.0850921,19136
-2.46138,12.8201,0.591531,42125
-2.40963,12.5269,0.10965,116923
-2.35849,12.5223,-0.123669,60541
-2.29655,12.2528,0.22525,8115
-2.22083,10.4848,0.79251,38109
-2.16914,10.4377,0.4313,115635
-2.11782,10.6902,0.0471866,65838
-2.04502,13.4624,0.837122,28425
-1.98684,14.5681,1.18507,99972
-1.93557,14.2011,1.09996,89717
-1.87404,12.9974,0.919289,22631
-1.80372,12.0804,0.845795,67773
-1.75243,12.7581,0.861478,112549
-1.6987,13.2209,0.732297,40659
-1.62285,10.9483,1.31141,53085
-1.57053,10.8808,1.19822,119813
-1.51902,10.7106,0.990581,52896
-1.44244,10.8419,1.20329,42703
-1.38928,10.8814,1.12772,116008
-1.33721,10.972,0.890206,66083
-1.26405,11.8585,1.36257,54473
-1.21065,12.1914,0.842129,119353
-1.15829,12.2487,0.606678,55095
-1.08316,11.5974,1.15537,41805
-1.02896,11.2258,1.01886,115797
-0.978116,11.3305,0.725479,65007
-0.923064,11.4358,0.160925,7307
-0.83808,10.2603,1.08582,15520
-0.785714,10.5827,1.03827,88803
-0.734307,10.6717,0.887079,100966
-0.672799,10.685,1.50702,34964
-0.605542,10.7892,2.2954,86776
-0.554044,10.7222,2.24397,102600
-0.495147,10.2541,2.29232,32826
-0.424595,11.7487,1.89429,72069
-0.372594,11.4507,1.56675,110702
-0.320165,10.5354,1.44832,34797
-0.244721,10.3429,2.10959,7990
-0.182766,10.8939,1.9412,59819
-0.131344,11.155,1.76954,117260
-0.0727204,10.6785,1.80749,64557
-0.00770263,10.4459,1.80578,103994
0.0443015,10.1205,1.34772,87939
0.0963798,9.9805,0.759608,15154
0.179153,7.34467,3.47174,3315
0.238653,6.12277,3.60329,42037
0.29027,5.75675,3.42474,114799
0.344354,6.0052,3.2499,71277
0.414326,8.94385,2.73854,78255
0.467092,9.54071,2.36579,111757
0.519449,9.36324,2.14266,32304
0.596479,6.08363,3.40667,8423
0.65677,4.08257,3.99317,64752
0.707917,2.97929,3.88866,115229
0.762614,2.9464,3.74083,45351
0.835992,3.51749,3.40147,68234
0.887917,3.14008,2.71111,118420
0.94702,4.4612,2.16679,56077
1.01293,7.56298,2.09817,101187
1.06433,7.74462,1.66277,89907
1.11714,7.86529,1.4932,16153
1.19523,1.37267,5.37727,2139
1.26017,0.706405,5.45717,32265
1.31164,0.45554,5.08636,113329
1.36225,0,4.34235,72902
1.43195,1.58633,3.79117,19853
1.49505,3.3153,3.21862,81699
1.5463,3.71054,3.03421,104841
1.60417,2.72075,3.18608,35475
1.67583,2.72835,3.91315,74564
1.7268,2.8308,3.29786,113169
1.78564,2.93603,2.92924,44744
1.85453,3.95784,2.71916,88842
1.90564,3.9163,2.08494,105391
1.96861,4.40098,2.15862,39750
2.03355,4.93154,2.79095,94076
2.08522,4.70437,2.49332,95909
2.15006,2.33534,1.4114,42150
2.21289,0.966172,0.163926,104006
2.26386,1.76603,-0.205094,88282
2.33167,1.02463,1.30033,34298
2.39328,0.368064,1.69291,102759
2.44559,0.917375,1.11219,98179
2.51288,4.32709,0.627948,83943
2.5669,5.20731,0.100667,112265
2.61981,6.05445,-0.502768,35438
2.69849,3.11097,-0.0288992,30216
2.75217,3.33505,-0.174011,113198
2.80662,3.27083,-0.510014,97266
2.87145,1.50349,-0.811443,111435
2.92403,1.35098,-1.24449,89217
2.98813,2.77519,-0.986702,25317
3.05554,4.01918,-0.388857,82600
3.10578,4.02091,-1.12266,107981
3.16632,3.15317,-1.49116,38973
3.23429,0.861185,-1.91753,86061
3.28598,1.0762,-2.09824,102903
3.34068,1.35009,-2.34086,26655
3.41834,5.76803,-1.00675,41788
3.47024,5.82489,-1.79009,115997
3.52329,5.87535,-1.94942,66600
3.59543,2.42431,-1.85793,60748
3.64867,2.37137,-2.44972,118620
3.70207,2.81378,-2.98337,50643
3.77548,6.6318,-2.20633,45226
3.83084,6.64925,-0.850437,101687
3.88428,6.01419,0.260257,71021
3.95277,7.81503,-0.46719,43311
4.012,7.88865,-0.186633,100332
4.06381,7.71698,-0.397562,79086
4.12332,8.60525,-1.00988,17179
4.1981,9.08306,-3.27963,50046
4.24952,9.10519,-3.85493,117410
4.30068,9.57781,-4.32532,52184
4.37173,9.00642,-4.16097,11246
4.43681,9.54139,-4.25658,65616
4.4877,9.81075,-4.59283,117623
4.53895,9.71902,-4.90972,35761
4.59213,9.80615,-6.12877,1782
Aminohexane,,,
"z (Angstroms)","PE (kcal/mol)","F (kcal/mol-Angstrom)","Number of samples"
-6.62409,10.1178,2.20529,786
-6.57049,9.52751,0.769407,22623
-6.51886,9.61254,0.402882,102325
-6.46755,9.41862,0.0992445,86315
-6.40807,9.33165,0.138739,19575
-6.3344,11.9018,0.139245,53139
-6.28245,12.1679,0.177832,117412
-6.22972,12.5542,0.208304,52813
-6.15496,17.1287,0.248227,45473
-6.10125,17.8335,0.092275,115787
-6.04936,17.6426,-0.329966,61427
-5.97564,13.2753,-0.317702,37172
-5.9197,12.456,-0.819713,111261
-5.8687,12.1404,-1.44817,75063
-5.80118,13.348,-0.209088,19856
