Propanenitrile,,,
"z (Angstroms)","PE (kcal/mol)","F (kcal/mol-Angstrom)","Number of samples"
4.62836,12.1901,-0.248692,9730
4.69086,12.7373,0.244375,63900
4.7417,12.9545,0.0579117,117059
4.794,13.1775,-0.130703,38727
4.87247,13.9063,-2.48038e-05,31000
4.92568,14.8663,-0.314392,108932
4.97697,14.9207,-0.810288,79451
5.04631,13.1678,-0.277861,27083
5.10783,12.544,-0.0126849,97130
5.15858,12.6217,-0.349488,96197
5.22181,12.0742,-0.4662,29496
5.28866,11.6903,0.155561,90157
5.33937,11.6133,-0.309885,102797
5.39125,11.6912,-0.550505,20758
5.47435,11.2386,1.67689,4875
5.53173,12.5171,0.719254,55443
5.58277,12.635,-0.283676,121104
5.6414,12.9665,-0.838605,71950
5.70575,13.6291,-0.47315,109791
5.75741,13.6744,-1.03306,81074
5.82517,14.9068,-0.123912,28803
5.88783,15.4494,-0.281207,97070
5.93854,15.8083,-1.30046,96334
5.99415,16.4319,-2.05282,18914
6.07272,15.1931,0.170706,41379
6.12467,15.0799,-0.166194,115384
6.1768,14.865,-0.855291,67455
6.24976,14.1095,-0.102262,57264
6.30287,13.7858,-0.658661,118552
6.35438,13.7482,-1.14819,48320
6.40972,14.0976,-1.15832,4391
6.4964,17.8657,0.83035,1182
6.55421,19.288,0.413274,25746
6.60651,18.9138,-0.0159891,101751
6.65852,19.0462,-0.665697,87110
6.72747,16.4698,-0.789073,59753
6.78358,15.384,-0.786626,118378
6.83805,15.8661,-0.839673,65339
6.90851,15.8749,-0.385716,78869
6.9609,16.1955,-0.411078,112657
7.01225,16.9605,-0.296924,30390
7.06667,16.3054,-0.386331,1499
Butanenitrile,,,
"z (Angstroms)","PE (kcal/mol)","F (kcal/mol-Angstrom)","Number of samples"
-6.89366,11.7292,0.0520067,605
-6.83797,9.96521,0.579047,16050
-6.78475,9.84418,0.634898,88955
-6.73359,9.6683,0.385681,99007
-6.68021,9.83774,0.0310577,22757
-6.59882,12.0132,0.921428,21254
-6.54557,11.9068,0.738443,100700
-6.49417,11.6722,0.293764,94488
-6.42601,10.4466,0.230988,60876
-6.36926,10.4065,0.152858,114301
-6.31644,10.3837,0.195005,59561
-6.24369,7.37741,1.05729,42774
-6.18799,7.105,1.02729,111118
-6.13668,7.35651,0.666662,69281
-6.07955,6.97198,0.140453,9490
-5.99884,9.32156,0.848329,29290
-5.94711,9.07098,0.458967,109750
-5.89497,9.11285,-0.0326837,82166
-5.82506,9.30341,0.1924,65680
-5.77019,8.51647,0.201369,118311
-5.71715,9.03044,0.161765,48774
-5.64196,8.02955,1.21007,52547
-5.58971,7.93768,0.646348,119871
-5.53844,7.42769,0.380935,51544
-5.46441,7.97002,0.662625,14065
-5.40369,8.90278,0.60503,75162
-5.3521,8.97602,0.246635,106863
-5.29718,8.91195,0.266849,35925
-5.22179,9.5688,0.896525,45459
-5.16891,9.26004,0.799544,113621
-5.11702,8.78091,0.80973,61706
-5.04521,7.11721,1.69837,21324
-4.98447,6.34464,1.81283,89271
-4.93368,6.08861,1.09515,100790
-4.88042,6.09714,0.607645,21578
-4.79878,4.88171,1.76867,19574
-4.74536,4.71044,1.55136,96004
-4.69417,4.32645,1.46231,93859
-4.63484,3.58553,1.41483,24492
-4.56218,2.62302,1.5349,61317
-4.51059,2.32067,1.46834,115200
-4.45359,3.2416,1.62988,54825
-4.38515,5.55998,0.981783,86762
-4.33291,5.10535,0.569447,105296
-4.27922,5.87495,0.264496,26408
-4.20009,5.48291,1.26159,33872
-4.14779,4.47648,1.09653,116538
-4.09606,4.76209,0.683544,72579
-4.0237,6.49695,1.46663,57741
-3.96969,6.58043,1.14221,119726
-3.91858,6.16381,0.582668,50731
-3.84237,5.32364,1.12707,21199
-3.78482,5.17061,1.21892,92577
-3.73425,5.26956,0.881058,96289
-3.67745,5.44614,0.633565,22717
-3.60093,5.6274,2.00253,46142
-3.54917,5.74838,1.38054,116822
-3.4944,5.79148,0.931294,68820
-3.42463,6.7141,1.13268,88425
-3.37344,6.49717,0.600692,106596
-3.32057,7.12436,0.596361,25379
-3.23869,7.51526,0.676661,17617
-3.1854,7.6871,0.41501,94830
-3.13402,7.8871,0.114345,97203
-3.07762,6.98941,0.352318,20843
-3.00069,6.63464,0.909159,42841
-2.94895,6.04166,0.799038,116380
-2.89489,6.61008,0.701202,68831
-2.82407,7.68133,0.480127,80234
-2.77215,7.98694,0.0846484,112449
-2.72032,7.67243,-0.199372,30375
-2.63955,4.97616,1.44865,12365
-2.58395,4.83615,1.01261,82046
-2.53248,4.68157,0.829179,106963
-2.47299,5.73012,0.551048,40649
-2.40475,6.90908,0.557685,90260
-2.35364,6.62238,0.339849,103041
-2.29992,6.33053,0.274666,21919
-2.21958,2.91942,0.301296,31722
-2.16742,3.25619,0.0755719,112594
-2.11649,3.41371,-0.310486,73262
-2.05059,4.60444,0.219639,17656
-1.98277,5.71219,0.424439,68087
-1.93135,5.68068,0.0331833,112661
-1.87873,5.79953,-0.391102,36796
-1.80014,5.99912,1.33767,24592
-1.74622,5.61882,0.78124,108290
-1.6951,5.41927,0.230061,87190
-1.62512,6.10989,0.0176125,52994
-1.56874,6.2644,-0.119494,114916
-1.51661,6.14609,-0.300531,63914
-1.4435,5.92365,1.33007,34578
-1.38728,5.13288,1.31856,108195
-1.33496,4.35152,1.08379,81304
-1.26478,5.25165,0.700672,52900
-1.20876,6.06696,0.0300336,117957
-1.15786,6.0285,-0.59419,59354
-1.09001,6.70367,-0.759546,10963
-1.02145,6.81564,-0.478775,58457
-0.970492,6.49164,-0.93819,117522
-0.914489,6.75746,-0.88362,53996
-0.844451,6.33459,-0.436362,83200
-0.792582,6.45302,-0.682562,107990
-0.740477,6.39227,-0.939751,27837
-0.659024,5.09172,0.0317644,19681
-0.605428,5.13167,-0.0273897,97817
-0.554295,5.18673,-0.196211,93611
-0.489403,5.87241,-0.468053,35298
-0.425424,5.95383,-0.704116,98570
-0.374626,6.08699,-1.06792,94290
-0.32236,6.36008,-1.73313,15787
-0.238554,6.85667,1.11611,2791
-0.179757,6.4978,1.32397,42822
-0.128984,6.57971,1.34093,118932
-0.0777293,6.48119,1.47711,59558
-0.0028222,5.20667,2.18037,28479
0.0538295,4.62174,1.95458,104154
0.104712,4.59495,1.69839,85946
0.161363,4.85227,1.85156,14890
0.239569,5.76991,3.16871,38345
0.291806,4.5006,1.7545,110508
0.343908,3.39229,0.74673,68901
0.413461,3.97054,1.44553,23394
0.475376,4.98761,2.30134,89044
0.526373,4.73933,2.64423,101067
0.585382,4.36464,2.5371,28890
0.657187,4.70987,1.94058,69355
0.708532,4.75103,1.55225,115131
0.76437,4.86363,1.12188,41270
0.836914,1.34767,1.60032,68925
0.888711,0.444261,0.811421,114515
0.941551,1.32605,0.00699296,39064
1.01881,6.99265,1.77719,38423
1.07199,7.19974,1.40571,110898
1.12321,7.20765,0.726672,69759
1.18214,5.7388,-0.162559,9680
1.26056,1.31889,1.59185,36923
1.31177,0.867575,1.19379,116795
1.36385,0.863522,0.988103,70004
1.43629,1.83485,1.12031,53721
1.49072,2.02536,1.16284,116066
1.54333,2.55427,0.942052,58171
1.61709,0.0604271,1.0426,51870
1.67086,0.190249,0.693118,118249
1.7219,0.218659,0.414442,54380
1.7918,0.556536,1.62442,10109
1.85806,0.58947,1.446,62962
1.909,0.862408,0.656122,117881
1.96078,0.556272,-0.138705,39795
2.03942,2.57658,1.46414,20782
2.09471,2.26843,1.87783,96955
2.14619,2.30296,1.81402,97960
2.21382,1.5368,0.569791,62634
2.27066,0.857452,0.391025,121829
2.32256,0.795201,0.328794,55872
2.39711,1.61388,0.0959125,50841
2.45086,2.01154,-0.190098,117296
2.50482,2.06713,-0.419783,63002
2.57591,1.78656,0.804503,73639
2.62839,1.40212,0.406632,114295
2.68066,1.28536,-0.0786065,35627
2.75979,2.8413,1.4646,28889
2.81342,2.78912,0.774592,106516
2.86451,2.75703,-0.0331961,82509
2.93446,1.76493,1.08214,40556
2.99287,0.761134,0.620099,113843
3.04449,1.0799,-0.690869,77621
3.11549,1.99469,0.054204,50497
3.1713,2.37536,-0.252882,113565
3.22409,2.32996,-0.679905,66659
3.29651,1.19187,0.3638,54725
3.35048,1.12057,-0.249878,120194
3.40146,1.43445,-1.68347,52097
3.47699,4.04838,-0.773847,18647
3.53523,3.93337,-0.787937,90023
3.58654,4.26423,-1.08876,100097
3.65094,2.02053,-0.39466,47127
3.71331,0.363466,-0.629859,106910
3.76438,0.557376,-1.23929,82530
3.82169,0.889716,-1.76166,15359
3.90003,3.09959,-1.11597,39157
3.95152,3.41577,-1.55298,113107
4.00379,3.79566,-1.56125,66210
4.07447,5.51387,-0.291086,26534
4.13462,5.6047,-0.649491,91292
4.1866,5.74653,-1.63242,96146
4.25178,4.53342,-1.55195,49415
4.3131,3.67905,-0.768471,108382
4.36423,4.14528,-1.22366,78612
4.42404,4.0837,-0.758575,15126
4.49869,2.0335,0.607316,55667
4.54965,1.84618,-0.634422,119476
4.601,1.95875,-1.18908,45749
4.67083,3.10091,-1.21728,5706
4.7392,4.20771,-0.659897,45312
4.79108,4.37141,-0.696525,119218
4.84606,3.8663,-0.448842,69688
4.91485,0.258498,-0.00489768,92373
4.96652,0,-1.10301,104012
5.02095,0.350744,-2.09448,23176
5.09971,4.00274,-0.233003,40290
5.15162,4.2796,-1.01239,117311
5.20248,4.32826,-1.76639,61884
5.25554,4.71,-2.30568,6273
Pentanenitrile,,,
"z (Angstroms)","PE (kcal/mol)","F (kcal/mol-Angstrom)","Number of samples"
-7.00783,10.8282,-1.00525,387
-6.95177,12.0108,0.400969,14210
-6.90014,12.1945,0.108194,86033
-6.84828,12.245,0.051759,103575
-6.78411,12.3057,0.230927,52907
-6.72259,12.0013,0.208632,108725
-6.67063,12.1505,0.161057,79114
-6.601,13.1451,1.04908,36131
-6.54184,13.494,0.882459,107863
-6.49089,13.5785,0.334098,82043
-6.4227,13.1586,0.47857,30963
-6.36071,12.4918,0.986182,94894
-6.30939,11.9745,0.944939,95198
-6.25719,10.8385,0.855259,17645
-6.17208,13.3376,2.69799,6991
-6.11734,12.6229,2.12875,65237
-6.06645,12.1182,1.5359,114381
-6.01241,11.9682,1.10334,42581
-5.93754,13.4071,1.80719,51252
-5.88473,13.725,1.44959,116306
-5.83303,13.9001,1.00836,53815
-5.75976,13.9831,1.40479,18176
-5.6994,13.8498,1.30621,88386
-5.64882,14.0812,0.981706,103963
-5.58565,14.6703,1.13989,40927
-5.5209,15.4052,1.34451,101658
-5.47001,15.142,0.926218,92765
-5.40189,17.3164,0.777863,42533
-5.34221,18.3927,-0.220514,111996
-5.29164,18.5357,-1.21155,77809
-5.23589,18.4152,-1.92982,10048
-5.1537,15.5909,1.62719,26296
-5.10182,14.9069,1.29103,106183
-5.05026,14.7619,1.20687,84826
-4.98049,13.4067,1.31867,49980
-4.92364,12.6527,1.29861,118691
-4.87281,12.4724,0.948619,62479
-4.80399,13.0423,1.3883,12316
-4.73732,12.7946,1.84949,64041
-4.68655,12.0122,1.04284,116549
-4.63309,10.9103,0.175492,41448
-4.55687,13.6485,1.29665,45342
-4.50404,13.9422,1.16837,114793
-4.45256,13.5494,0.722415,60346
-4.39282,12.3113,1.04427,7599
-4.31482,11.637,2.38232,34808
-4.26304,11.2019,1.5095,113089
-4.21201,11.081,0.318276,70401
-4.14232,11.4826,0.51235,20648
-4.07949,11.6555,1.61758,86153
-4.02842,11.6276,1.23449,104107
-3.96939,11.0564,1.78475,31291
-3.89842,9.90442,2.78554,73884
-3.84716,9.87339,1.60192,113907
-3.78691,9.19977,1.23885,52505
-3.72105,8.26541,1.74268,100559
-3.67025,8.14833,1.56622,90560
-3.61042,8.7149,1.75776,21641
-3.53737,11.4062,1.58346,59575
-3.4859,11.5592,1.04926,114481
-3.43337,11.5151,0.96034,45211
-3.35758,10.107,2.09701,15510
-3.29889,9.31019,1.81168,87160
-3.24901,8.75364,1.08763,106392
-3.18896,9.22297,0.917664,29975
-3.11894,10.3594,1.26609,77746
-3.0673,10.5224,1.0014,111367
-3.00701,9.00346,1.16941,47756
-2.94073,8.28762,1.20419,102460
-2.8902,8.25402,0.467582,92365
-2.83236,7.88654,0.0568779,18465
-2.75648,8.74962,0.387937,46102
-2.70446,8.97149,0.582779,114499
-2.65247,9.10187,0.416199,57821
-2.57875,8.93277,1.00415,22932
-2.5204,9.19473,0.405917,98718
-2.47022,9.27849,-0.381699,96469
-2.41269,9.20182,-0.938958,18405
-2.33583,10.0301,0.887844,54850
-2.28461,9.58952,-0.386867,135329
-2.22496,9.14561,-0.866833,116225
-2.16748,9.04693,-0.548029,109716
-2.11459,8.92785,-0.688012,33853
-2.03525,9.52708,-0.488376,17584
-1.98018,9.36387,-0.739006,92796
-1.9291,9.37879,-0.898014,98850
-1.87326,9.35325,-0.706135,21911
-1.79561,9.09378,-0.520333,45849
-1.74446,8.91617,-0.932,121115
-1.69353,9.13004,-1.56019,55513
-1.61704,9.93263,-0.0580007,23448
-1.56099,9.25133,-0.135556,97897
-1.50972,8.95369,-0.222161,93112
-1.44515,10.0127,0.151991,30285
-1.37968,10.0391,0.590545,93402
-1.32931,9.96535,0.274363,101684
-1.26671,9.64487,0.457579,30832
-1.19948,8.34389,0.263719,85869
-1.14831,8.20855,0.0263011,104291
-1.0926,8.32801,0.0669654,28212
-1.01708,8.02781,1.27167,58654
-0.965889,7.76901,0.822349,117030
-0.913595,7.81347,0.691508,46805
-0.836744,8.00919,1.84575,32917
-0.782259,7.61979,2.03347,109148
-0.731407,7.61297,1.80484,77164
-0.678252,7.77595,1.58382,9813
-0.591925,7.25711,1.39206,10557
-0.538556,7.06167,1.38916,81983
-0.488419,7.14589,0.799116,110023
-0.431243,7.33101,0.760834,30707
-0.35773,6.78209,1.08931,65232
-0.306293,6.89462,0.573464,114434
-0.252182,6.93043,0.0108381,43965
-0.177158,7.54919,0.575199,54867
-0.124839,7.49864,0.198925,119722
-0.0661665,7.6597,-0.103271,85839
-0.00378687,7.39294,-0.194207,118582
0.0476563,7.39589,-0.235622,67139
0.103875,7.87863,-0.354628,7738
0.186815,13.525,1.84932,20838
0.239151,14.0406,1.6001,101584
0.289673,13.862,1.309,89584
0.341991,13.4773,1.05333,14567
0.404987,13.1497,-0.737704,374
0.489774,11.2831,3.67143,5264
0.543207,11.074,3.24607,59587
0.594082,11.1775,2.35962,118216
0.647463,11.1538,1.69923,44979
0.722351,11.8815,2.26448,49549
0.775615,11.712,1.80534,115251
0.827601,11.4054,1.27429,57374
0.901777,10.1747,2.3042,28690
0.95862,9.55231,2.10648,104506
1.00948,8.86506,1.234,85395
1.07199,8.50756,1.81951,21502
1.14199,8.43671,3.04123,68350
1.19304,8.06435,2.67571,112292
1.24559,7.71911,2.29933,36543
1.30272,6.48052,3.22659,2698
1.38858,7.81101,6.05252,10356
1.441,7.02903,5.27974,76634
1.49261,6.77907,5.27583,108849
1.55258,6.28954,5.27527,49134
1.61905,6.21749,5.35266,96711
1.67081,5.64918,4.92885,94563
1.73166,5.51327,4.27721,28613
1.80108,4.42582,4.98769,80251
1.85187,4.52997,4.69232,109574
1.90822,3.7105,4.46304,32069
1.98294,3.46467,5.01493,65480
2.03354,3.20977,4.14687,120733
2.09372,3.69794,4.04431,62826
2.15767,4.29212,3.83665,110195
2.20906,3.98502,3.6247,81438
2.27715,3.50048,4.21975,25266
2.3398,2.48557,3.59088,92638
2.39078,2.25574,2.6577,99519
2.44747,2.51552,1.68623,24012
2.5233,3.84532,2.96428,55907
2.57486,3.59714,2.11939,121052
2.63515,2.75427,1.74581,91221
2.69526,1.55727,1.6636,119975
2.74712,1.69719,1.66982,58637
2.82136,1.12805,1.5227,19393
2.88029,1.37012,1.10172,89742
2.93148,1.52331,0.755491,102036
2.99569,0.361894,0.639599,44494
3.05828,0,0.320142,109429
3.11,0.203337,-0.417073,87722
3.17967,1.54428,-0.269385,66064
3.23445,1.88812,-0.447645,118160
3.28661,1.98016,-0.967471,47456
3.36374,1.40891,-0.443501,27532
3.41813,1.15144,-0.949517,113178
3.46909,1.19936,-1.65867,81832
3.54062,1.15108,-1.26393,50217
3.59575,0.981819,-1.77144,122939
3.64947,1.18015,-2.42697,66946
3.72035,1.54984,-2.1174,81829
3.77233,1.70677,-2.62959,112301
3.83002,2.18806,-2.45699,35896
3.90173,3.05249,-1.87929,71990
3.95281,3.04746,-3.55768,113572
4.00868,3.44399,-4.61582,39155
4.082,4.1257,-3.21164,66782
4.1336,4.19268,-3.7559,114038
4.18547,4.79543,-4.5263,39776
4.26415,1.84473,-3.45362,16018
4.32051,1.76402,-3.78696,88327
4.37124,1.8305,-4.52849,102332
4.43105,2.83889,-4.73418,32364
4.50145,4.27846,-4.06674,77703
4.55222,4.68041,-4.85648,111582
4.61543,5.16701,-4.49648,60563
4.67715,5.99338,-4.48083,114658
4.72814,6.26527,-5.13379,72194
4.78256,6.32076,-5.24746,8861
4.86779,7.3551,-3.0829,12371
4.92086,7.77981,-3.92204,80431
4.9719,8.14489,-4.37702,106638
5.02353,8.68627,-5.37356,26789
5.08083,7.30351,-6.28061,1176
Hexanenitrile,,,
"z (Angstroms)","PE (kcal/mol)","F (kcal/mol-Angstrom)","Number of samples"
-6.30537,12.7508,0.411637,1160
-6.2501,12.2695,0.43137,26426
-6.19757,12.3573,0.442665,107686
-6.14688,12.6367,0.463307,80995
-6.08918,12.4091,0.779739,13245
-6.0111,10.4446,1.91542,39471
-5.95958,10.4954,1.09696,114432
-5.90776,10.9499,0.245446,66858
-5.83434,12.247,0.857284,36412
-5.77849,12.8527,0.924524,108669
-5.72712,12.9742,0.672095,77435
-5.6661,14.1707,0.564988,13229
-5.5918,18.2735,0.578326,50141
-5.54061,18.5374,0.0781741,119228
-5.48666,17.7437,-0.425649,59181
-5.4151,11.0229,-0.193928,71333
-5.36252,10.4669,-0.260012,112329
-5.30873,10.7844,-0.190237,39708
-5.23287,10.4367,1.85016,43799
-5.17971,11.2357,1.71745,113765
-5.12793,11.6377,1.08292,63828
-5.05458,10.7031,0.969102,38332
-4.99862,10.6238,0.458973,112641
-4.94713,11.2088,0.155383,75063
-4.87575,14.7155,-0.40752,40531
-4.81863,15.3142,-0.777403,113090
-4.76683,15.6571,-1.02707,75004
-4.69534,12.9738,0.800538,46575
-4.63948,12.2966,0.870611,111669
-4.58776,12.1338,0.819784,68378
-4.51748,12.8171,1.02759,20635
-4.45566,13.6869,1.38034,86150
-4.40441,13.7511,0.833509,102994
-4.35164,12.8183,0.578487,24242
-4.26997,12.7911,1.89707,18475
-4.21618,12.873,1.65556,92129
-4.16488,12.6997,1.36527,97321
-4.10878,12.3952,1.13141,23327
-4.03215,11.3748,2.27637,51085
-3.98088,11.3861,1.06649,115178
-3.92915,11.1996,0.411587,53492
-3.86193,12.2669,0.530451,8685
-3.79279,12.4571,1.68785,51753
-3.74048,12.1622,1.38006,117828
-3.68164,9.78442,0.691985,89747
-3.61994,7.0374,0.262148,118367
-3.5677,7.0393,0.18326,65573
-3.49947,9.54193,0.848814,18517
-3.43484,11.9719,1.24836,80184
-3.38394,11.744,0.908751,107198
-3.32833,11.0439,0.858013,32224
-3.25273,8.90666,1.34827,57343
-3.20171,8.82402,1.13047,119973
-3.14964,9.29475,0.866575,46105
-3.07243,13.8648,0.27293,31745
-3.01812,13.855,0.30133,106289
-2.96689,13.4719,0.149867,78587
-2.90825,13.8859,0.948149,14237
-2.83117,13.4303,0.97908,44591
-2.78018,13.1432,0.746788,118897
-2.72882,13.3292,0.704631,57314
-2.65542,10.3639,1.29606,18770
-2.59572,9.23482,0.901835,86497
-2.54405,9.4685,0.402878,104257
-2.48013,11.5891,0.333563,49303
-2.41815,13.5809,0.534875,110106
-2.36719,13.859,0.418624,79605
-2.30066,11.4149,1.04822,21141
-2.2347,9.00063,1.09905,83874
-2.1843,8.87906,0.540016,108581
-2.12873,9.47963,0.12294,28301
-2.05284,12.3062,0.982922,53828
-2.00088,12.3263,0.74815,116310
-1.94916,12.0861,0.365703,51951
-1.87361,9.55895,1.76375,29589
-1.8178,9.25861,1.76216,107392
-1.7669,8.67433,1.25862,80745
-1.71192,7.67137,1.00696,12275
-1.62939,8.14231,2.08914,19559
-1.57676,7.85907,1.78009,94265
-1.52522,7.59307,1.71386,93834
-1.46117,8.24553,1.34971,35071
-1.39595,8.12228,0.572819,96804
-1.34453,8.38258,0.0175988,104072
-1.27799,9.33691,-0.114547,74537
-1.22162,10.0402,-0.143728,113627
-1.1682,11.0504,-0.144133,49146
-1.09377,9.20021,0.919563,43372
-1.03936,8.19366,1.37056,110769
-0.987849,7.74602,1.3654,67089
-0.917267,8.51034,1.0486,21943
